index,size
4,2
5,2
9,2
10,3
14,2
16,2
18,2
21,2
22,2
28,2
30,2
32,3
33,2
36,2
40,2
45,10
46,2
47,2
52,2
63,2
67,3
72,5
76,2
78,2
79,2
81,2
82,4
84,2
85,3
86,2
87,2
92,2
93,2
95,2
97,7
99,2
100,2
102,2
105,2
110,2
117,3
119,2
121,2
123,2
124,2
125,2
128,2
129,2
131,2
132,2
139,3
140,2
141,6
142,2
143,2
144,3
147,2
148,2
151,2
153,2
155,2
158,2
160,2
169,8
171,4
174,2
175,2
177,2
178,2
180,2
181,2
183,3
185,2
192,2
193,2
197,2
198,2
200,2
204,2
205,2
206,2
207,3
